timestamp,symbol,side,entry_price,exit_price,size,pnl,strategy,exit_reason,leverage,entry_regime,entry_adx,entry_rsi,entry_ema20,entry_ema50,entry_volume_ratio,ai_confidence,ai_reasoning
2026-01-23T18:44:24.839537,FARTCOIN,BUY,0.31048,0.3119,374.5,0.5317900000000121,Manual (TREND - Adopted),External Close,1.0,,,,,,,,
2026-01-23T20:41:54.079273,SOL,BUY,129.3755,127.83,0.54,-0.8345699999999946,Manual (TREND - Adopted),External Close,1.0,,,,,,,,
2026-01-24T09:05:16.210901,HYPE,BUY,23.036,22.869,1.03,-0.17201000000000163,Manual (TREND - Adopted),STOP_LOSS,1.0,,,,,,,,
2026-01-24T19:07:57.490267,FARTCOIN,SELL,0.29836,0.30413,83.6,-0.48237199999999975,bollinger_middle_bounce,External Close,1.0,TREND,36.07,40.89,0.3012,0.3026,222.3,72,"Tendance baissière confirmée par EMA20 < EMA50 et ADX > 25. Le prix touche la bande médiane Bollinger (zone de valeur), formant une bougie rouge. Le volume est élevé (ratio 238%) et le RSI en baisse n"
2026-01-25T09:52:33.821303,HYPE,BUY,22.938,22.66,5.35,-1.487299999999993,Manual (TREND - Adopted),External Close,1.0,,,,,,,,
2026-01-25T11:42:32.985057,BTC,BUY,88426.0,88569.0,0.00248,0.35464,Manual (TREND - Adopted),External Close,1.0,,,,,,,,
2026-01-25T16:06:48.435495,SOL,BUY,125.74,126.0,0.9,0.23400000000000462,Manual (RANGE - Adopted),External Close,1.0,,,,,,,,
2026-01-25T17:05:10.356175,SOL,SELL,125.33,123.6,1.05,1.8165000000000042,Manual (RANGE - Adopted),External Close,1.0,,,,,,,,
2026-01-25T17:17:44.731599,SOL,BUY,122.99,122.96,0.89,-0.02670000000000101,Manual (RANGE - Adopted),External Close,1.0,,,,,,,,
2026-01-25T18:17:16.525258,SOL,BUY,122.85,121.7,0.4,-0.45999999999999663,Manual (TREND - Adopted),External Close,1.0,,,,,,,,
2026-01-25T20:22:26.747604,BTC,SELL,87834.0,86757.0,0.00121,1.30317,Manual (TREND - Adopted),External Close,1.0,,,,,,,,
